1001H6100000000005UC,0000000045a,201807100001,关联测试
1001H6100000000016Y8,0000000102,0001000088,笔记本电脑
1001H6100000000016Y9,0000000103,0001000089,笔记本电脑
1001H6100000000016YA,0000000104,0001000090,笔记本电脑
1001H6100000000016YB,0000000105,0001000091,笔记本电脑
1001H6100000000016YC,0000000106,0001000092,笔记本电脑
1001H6100000000016YD,0000000107,0001000093,笔记本电脑
1001H6100000000016YE,0000000108,0001000094,笔记本电脑
1001H6100000000016YF,0000000109,0001000095,笔记本电脑
1001H6100000000016YG,0000000110,0001000096,笔记本电脑
1001H6100000000016YH,0000000111,0001000097,笔记本电脑
1001H6100000000016YI,0000000112,0001000098,笔记本电脑
1001H6100000000016YJ,0000000113,0001000099,笔记本电脑
1001H6100000000016YK,0000000114,0001000100,笔记本电脑
1001H6100000000016YL,0000000115,0001000101,笔记本电脑
1001H6100000000016YM,0000000116,0001000102,笔记本电脑
1001H6100000000016YN,0000000117,0001000103,笔记本电脑
1001H6100000000016YO,0000000118,0001000104,笔记本电脑
1001H6100000000016YP,0000000119,0001000105,笔记本电脑
1001H6100000000016YQ,0000000120,0001000106,笔记本电脑
1001H6100000000016YR,0000000121,0001000107,笔记本电脑
1001H6100000000016YS,0000000122,0001000108,笔记本电脑
1001H6100000000016YT,0000000123,0001000109,笔记本电脑
1001H6100000000016YU,0000000124,0001000110,笔记本电脑
1001H6100000000016YV,0000000125,0001000111,笔记本电脑
1001H6100000000016YW,0000000126,0001000112,笔记本电脑
1001H6100000000016YX,0000000127,0001000113,笔记本电脑
1001H6100000000016YY,0000000128,0001000114,笔记本电脑
1001H6100000000016YZ,0000000129,0001000115,笔记本电脑
1001H6100000000016Z0,0000000130,0001000116,笔记本电脑
1001H6100000000016Z1,0000000131,0001000117,笔记本电脑
1001H6100000000016Z2,0000000132,0001000118,笔记本电脑
1001H6100000000016Z3,0000000133,0001000119,笔记本电脑
1001H6100000000016Z4,0000000134,0001000120,笔记本电脑
1001H6100000000016Z5,0000000135,0001000121,笔记本电脑
1001H6100000000016Z6,0000000136,0001000122,笔记本电脑
1001H6100000000016Z7,0000000137,0001000123,笔记本电脑
1001H6100000000016Z8,0000000138,0001000124,笔记本电脑
1001H6100000000016Z9,0000000139,0001000125,笔记本电脑
1001H6100000000016ZA,0000000140,0001000126,笔记本电脑
1001H6100000000016ZB,0000000141,0001000127,笔记本电脑
1001H6100000000016ZC,0000000142,0001000128,笔记本电脑
1001H6100000000016ZD,0000000143,0001000129,笔记本电脑
1001H6100000000016ZE,0000000144,0001000130,笔记本电脑
1001H6100000000016ZF,0000000145,0001000131,笔记本电脑
1001H6100000000016ZG,0000000146,0001000132,笔记本电脑
1001H6100000000016ZH,0000000147,0001000133,笔记本电脑
1001H6100000000016ZI,0000000148,0001000134,笔记本电脑
1001H6100000000016ZJ,0000000149,0001000135,笔记本电脑
1001H6100000000016ZK,0000000150,0001000136,笔记本电脑
1001H6100000000016ZL,0000000151,0001000137,笔记本电脑
1001H6100000000016ZM,0000000152,0001000138,笔记本电脑
1001H6100000000016ZN,0000000153,0001000139,笔记本电脑
1001H6100000000016ZO,0000000154,0001000140,笔记本电脑
1001H6100000000016ZP,0000000155,0001000141,笔记本电脑
1001H6100000000016ZQ,0000000156,0001000142,笔记本电脑
1001H6100000000016ZR,0000000157,0001000143,笔记本电脑
1001H6100000000016ZS,0000000158,0001000144,笔记本电脑
1001H6100000000016ZT,0000000159,0001000145,笔记本电脑
1001H6100000000016ZU,0000000160,0001000146,笔记本电脑
1001H6100000000016ZV,0000000161,0001000147,笔记本电脑
1001H6100000000016ZW,0000000162,0001000148,笔记本电脑
1001H6100000000016ZX,0000000163,0001000149,笔记本电脑
1001H6100000000016ZY,0000000164,0001000150,笔记本电脑
1001H6100000000016ZZ,0000000165,0001000151,笔记本电脑
1001H610000000001700,0000000166,0001000152,笔记本电脑
1001H610000000001701,0000000167,0001000153,笔记本电脑
1001H610000000001702,0000000168,0001000154,笔记本电脑
1001H610000000001703,0000000169,0001000155,笔记本电脑
1001H610000000001WAR,0000000187,0002000005,固定资产卡片-打印机
1001H610000000001WAS,0000000188,0002000006,固定资产卡片-打印机
1001H610000000001WAT,0000000189,0002000007,固定资产卡片-打印机
1001H610000000001WAU,0000000190,0002000008,固定资产卡片-打印机
1001H610000000001WAV,0000000191,0002000009,固定资产卡片-打印机
1001H610000000001WAW,0000000192,0002000010,固定资产卡片-打印机
1001H610000000001WAX,0000000193,0002000011,固定资产卡片-打印机
1001H610000000001WAY,0000000194,0002000012,固定资产卡片-打印机
1001H610000000001WAZ,0000000195,0002000013,固定资产卡片-打印机
1001H610000000001WB0,0000000196,0002000014,固定资产卡片-打印机
1001H610000000001WB1,0000000197,0002000015,固定资产卡片-打印机
1001H610000000001WB2,0000000198,0002000016,固定资产卡片-打印机
1001H610000000001WB3,0000000199,0002000017,固定资产卡片-打印机
1001H610000000001WB4,0000000200,0002000018,固定资产卡片-打印机
1001H610000000001WB5,0000000201,0002000019,固定资产卡片-打印机
1001H610000000001704,0000000170,0001000156,笔记本电脑
1001H610000000001705,0000000171,0001000157,笔记本电脑
1001H610000000001706,0000000172,0001000158,笔记本电脑
1001H610000000001707,0000000173,0001000159,笔记本电脑
1001H610000000001708,0000000174,0001000160,笔记本电脑
1001H610000000001709,0000000175,0001000161,笔记本电脑
1001H61000000000170A,0000000176,0001000162,笔记本电脑
1001H61000000000170B,0000000177,0001000163,笔记本电脑
1001H61000000000170C,0000000178,0001000164,笔记本电脑
1001H61000000000170D,0000000179,0001000165,笔记本电脑
1001H61000000000170E,0000000180,0001000166,笔记本电脑
1001H61000000000170F,0000000181,0001000167,笔记本电脑
1001H61000000000170G,0000000182,0001000168,笔记本电脑
1001H61000000000170H,0000000183,0001000169,笔记本电脑
1001H61000000000170I,0000000184,0001000170,笔记本电脑
1001H61000000000170J,0000000185,0001000171,笔记本电脑
1001H61000000000170K,0000000186,0001000172,笔记本电脑
1001H61000000000170L,0000000187,0001000173,笔记本电脑
1001H61000000000170M,0000000188,0001000174,笔记本电脑
1001H61000000000170N,0000000189,0001000175,笔记本电脑
1001H61000000000170O,0000000190,0001000176,笔记本电脑
1001H61000000000170P,0000000191,0001000177,笔记本电脑
1001H61000000000170Q,0000000192,0001000178,笔记本电脑
1001H61000000000170R,0000000193,0001000179,笔记本电脑
1001H61000000000170S,0000000194,0001000180,笔记本电脑
1001H61000000000170T,0000000195,0001000181,笔记本电脑
1001H61000000000170U,0000000196,0001000182,笔记本电脑
1001H61000000000170V,0000000197,0001000183,笔记本电脑
1001H61000000000170W,0000000198,0001000184,笔记本电脑
1001H61000000000170X,0000000199,0001000185,笔记本电脑
1001H61000000000170Y,0000000200,0001000186,笔记本电脑
1001H61000000000170Z,0000000201,0001000187,笔记本电脑
1001H610000000001710,0000000202,0001000188,笔记本电脑
1001H610000000001711,0000000203,0001000189,笔记本电脑
1001H610000000001712,0000000204,0001000190,笔记本电脑
1001H610000000001713,0000000205,0001000191,笔记本电脑
1001H610000000001714,0000000206,0001000192,笔记本电脑
1001H610000000001715,0000000207,0001000193,笔记本电脑
1001H610000000001716,0000000208,0001000194,笔记本电脑
1001H610000000001717,0000000209,0001000195,笔记本电脑
1001H610000000001718,0000000210,0001000196,笔记本电脑
1001H610000000001719,0000000211,0001000197,笔记本电脑
1001H61000000000171A,0000000212,0001000198,笔记本电脑
1001H61000000000171B,0000000213,0001000199,笔记本电脑
1001H61000000000171C,0000000214,0001000200,笔记本电脑
1001H61000000000171D,0000000215,0001000201,笔记本电脑
1001H61000000000171E,0000000216,0001000202,笔记本电脑
1001H61000000000171F,0000000217,0001000203,笔记本电脑
1001H61000000000171G,0000000218,0001000204,笔记本电脑
1001H61000000000171H,0000000219,0001000205,笔记本电脑
1001H61000000000171I,0000000220,0001000206,笔记本电脑
1001H61000000000171J,0000000221,0001000207,笔记本电脑
1001H61000000000171K,0000000222,0001000208,笔记本电脑
1001H61000000000171L,0000000223,0001000209,笔记本电脑
1001H61000000000171M,0000000224,0001000210,笔记本电脑
1001H61000000000171N,0000000225,0001000211,笔记本电脑
1001H61000000000171O,0000000226,0001000212,笔记本电脑
1001H61000000000171P,0000000227,0001000213,笔记本电脑
1001H61000000000171Q,0000000228,0001000214,笔记本电脑
1001H61000000000171R,0000000229,0001000215,笔记本电脑
1001H61000000000171S,0000000230,0001000216,笔记本电脑
1001H61000000000171T,0000000231,0001000217,笔记本电脑
1001H61000000000171U,0000000232,0001000218,笔记本电脑
1001H61000000000171V,0000000233,0001000219,笔记本电脑
1001H61000000000171W,0000000234,0001000220,笔记本电脑
1001H61000000000171X,0000000235,0001000221,笔记本电脑
1001H61000000000171Y,0000000236,0001000222,笔记本电脑
1001H61000000000171Z,0000000237,0001000223,笔记本电脑
1001H610000000001720,0000000238,0001000224,笔记本电脑
1001H610000000001721,0000000239,0001000225,笔记本电脑
1001H610000000001722,0000000240,0001000226,笔记本电脑
1001H610000000001723,0000000241,0001000227,笔记本电脑
1001H610000000001724,0000000242,0001000228,笔记本电脑
1001H610000000001725,0000000243,0001000229,笔记本电脑
1001H610000000001726,0000000244,0001000230,笔记本电脑
1001H610000000001727,0000000245,0001000231,笔记本电脑
1001H610000000001728,0000000246,0001000232,笔记本电脑
1001H610000000001729,0000000247,0001000233,笔记本电脑
1001H61000000000172A,0000000248,0001000234,笔记本电脑
1001H61000000000172B,0000000249,0001000235,笔记本电脑
1001H61000000000172C,0000000250,0001000236,笔记本电脑
1001H61000000000172D,0000000251,0001000237,笔记本电脑
1001H61000000000172E,0000000252,0001000238,笔记本电脑
1001H61000000000172F,0000000253,0001000239,笔记本电脑
1001H61000000000172G,0000000254,0001000240,笔记本电脑
1001H61000000000172H,0000000255,0001000241,笔记本电脑
1001H610000000001WAN,0000000183,0002000001,固定资产卡片-打印机
1001H610000000001WAO,0000000184,0002000002,固定资产卡片-打印机
1001H610000000001WAP,0000000185,0002000003,固定资产卡片-打印机
1001H610000000001WAQ,0000000186,0002000004,固定资产卡片-打印机
1001H610000000001WCF,0000000247,0002000065,固定资产卡片-打印机
1001H610000000001WCG,0000000248,0002000066,固定资产卡片-打印机
1001H610000000001WCH,0000000249,0002000067,固定资产卡片-打印机
1001H610000000001WCI,0000000250,0002000068,固定资产卡片-打印机
1001H610000000001WCJ,0000000251,0002000069,固定资产卡片-打印机
1001H610000000001WCK,0000000252,0002000070,固定资产卡片-打印机
1001H610000000001WCL,0000000253,0002000071,固定资产卡片-打印机
1001H610000000001WCM,0000000254,0002000072,固定资产卡片-打印机
1001H610000000001WCN,0000000255,0002000073,固定资产卡片-打印机
1001H610000000001WCO,0000000256,0002000074,固定资产卡片-打印机
1001H610000000001WCP,0000000257,0002000075,固定资产卡片-打印机
1001H610000000001WCQ,0000000258,0002000076,固定资产卡片-打印机
1001H610000000001WCR,0000000259,0002000077,固定资产卡片-打印机
1001H610000000001WCS,0000000260,0002000078,固定资产卡片-打印机
1001H610000000001WCT,0000000261,0002000079,固定资产卡片-打印机
1001H610000000001WCU,0000000262,0002000080,固定资产卡片-打印机
1001H610000000001WCV,0000000263,0002000081,固定资产卡片-打印机
1001H610000000001WCW,0000000264,0002000082,固定资产卡片-打印机
1001H610000000001WCX,0000000265,0002000083,固定资产卡片-打印机
1001H610000000001WCY,0000000266,0002000084,固定资产卡片-打印机
1001H610000000001WCZ,0000000267,0002000085,固定资产卡片-打印机
1001H610000000001WD0,0000000268,0002000086,固定资产卡片-打印机
1001H610000000001WD1,0000000269,0002000087,固定资产卡片-打印机
1001H610000000001WD2,0000000270,0002000088,固定资产卡片-打印机
1001H610000000001WD3,0000000271,0002000089,固定资产卡片-打印机
1001H610000000001WD4,0000000272,0002000090,固定资产卡片-打印机
1001H610000000001WD5,0000000273,0002000091,固定资产卡片-打印机
1001H610000000001WD6,0000000274,0002000092,固定资产卡片-打印机
1001H610000000001WD7,0000000275,0002000093,固定资产卡片-打印机
1001H610000000001WD8,0000000276,0002000094,固定资产卡片-打印机
1001H610000000001WD9,0000000277,0002000095,固定资产卡片-打印机
1001H610000000001WDA,0000000278,0002000096,固定资产卡片-打印机
1001H610000000001WDB,0000000279,0002000097,固定资产卡片-打印机
1001H610000000001WDC,0000000280,0002000098,固定资产卡片-打印机
1001H610000000001WDD,0000000281,0002000099,固定资产卡片-打印机
